ID,Title,Keywords,FirstLevel,Processed_Title,Processed_Keyword,Processed_T_K
609,Decomposition of Timed Automata,"timed automata,parallel decomposition,state and clock partition",['F' 'J'],timed automata,timed automata,timed automata timed automata
612,Splicing on Trees: the Iterated Case,"DNA computing,trees languages",['F'],iterated case,dna computing,iterated case dna computing
617,Transformational Approaches to the Specification and Verification of Fault-Tolerant Systems: Formal Background and Classification,"fault tolerance,specification,verification,transformation,fault model,failure model",['C' 'F'],transformational approaches,fault tolerance,transformational approaches fault tolerance
621,Advanced Fault Tree Modeling,"Fault tree,Shannon tree,Binary de,cision diagram,Markov approach,Petri net",['F' 'G'],advanced fault tree modeling,fault tree,advanced fault tree modeling fault tree
623,Laha Distribution: Computer Generation and Applications to Life Time Modelling,"computer generation,composition procedure,ratio of uniforms method,life time",['G'],life time modelling,computer generation,life time modelling computer generation
626,A Note on Bounded-Weight Error-Correcting Codes,"error-correcting codes,bounded-weight codes,constant-weight codes,experimental algorithms,heuristic algorithms,exact solutions",['E' 'H'],bounded-weight error-correcting codes,error-correcting codes,bounded-weight error-correcting codes error-correcting codes
627,On the Power of Positive Turing Reductions,"computational complexity,NP,positive Turing reductions",['F'],positive turing reductions,positive turing reductions,positive turing reductions positive turing reductions
628,An Efficient Planning Algorithm for Multi-Head Surface Mounting Machines Using a Genetic Algorithm,"Genetic algorithm,PCB assembly time,multi-head surface mounting machine",['H' 'I' 'J'],multi-head surface mounting machines,multi-head surface mounting machine,multi-head surface mounting machines multi-head surface mounting machine
634,A Decision Method for Duration Calculus,"Duration Calculus,automated deduction,tableau method",['D' 'F' 'I'],decision method,duration calculus,decision method duration calculus
636,"'Computing' as Information Compression by Multiple Alignment, Unification and Search","theory of computing,Turing machine,Post  canonical system,multiple alignment,new compu,ting paradigms",['F'],information compression,post  canonical system,information compression post  canonical system
641,On the Algebra of Intervals and Convex Bodies,"Interval arithmetic,convex bodies,Minkowski operations,commutative semigroups,isomorphic embedding,quasilinear space.",['G' 'I'],convex bodies,interval arithmetic,convex bodies interval arithmetic
643,Algebraic Solutions to a Class of Interval Equations,"Extended interval arithmetic,interval equation,algebraic solutions,algebraic transformations.",['G' 'I'],algebraic solutions,extended interval arithmetic,algebraic solutions extended interval arithmetic
645,Modelling the Measurement Uncertainty by Intervals,"mathematical modelling,interval computing,measure uncertainty,co-ordinate measure machine",['G'],measurement uncertainty,co-ordinate measure machine,measurement uncertainty co-ordinate measure machine
660,A Comparative Evaluation of Print and Electronic Reviews of Multimedia Information Products,"reviews,multimedia,evaluation,applications,content analysis",['K'],multimedia information products,content analysis,multimedia information products content analysis
663,Evaluating Educational Multimedia in the Context of Use,": Multimedia,Evaluation,Curriculum,Design Experiment,Methodology,Computer Uses in Education,Science Education",['K'],evaluating educational multimedia,design experiment,evaluating educational multimedia design experiment
667,Conditional Reasoning: A Key to Assessing Computer-based Knowledge-building Communication Processes,"knowledge-building,collaborative learning,transcript analysis,conditional reasoning,meaning implication,Piagetian theory",['J' 'K'],assessing computer-based knowledge-building communication processes,collaborative learning,assessing computer-based knowledge-building communication processes collaborative learning
669,Bridging Qualitative and Quantitative Approaches in Evaluating the Educational Effectiveness of a Shared Design Memory,"shared design memory,organizational learning,information systems design,evaluation",['H' 'K'],shared design memory,shared design memory,shared design memory shared design memory
671,Assessment in WWW-Based Learning Systems: Opportunities and Challenges,"educational assessment,electronic learning systems",['K'],www-based learning systems,electronic learning systems,www-based learning systems electronic learning systems
675,Perturbation Simulations of Rounding Errors in the Evaluation of Chebyshev Series,"Rounding errors,perturbation methods,Chebyshev  polynomials,polynomial evaluation",['F' 'G'],perturbation simulations,rounding errors,perturbation simulations rounding errors
676,Query Order and the Polynomial Hierarchy,"query order,polynomial hierarchy,ordered computation,commutative queries,complexity classes,downward separation",['F'],query order,query order,query order query order
678,"The Roles of Video in the Design, Development, and Use of Interactive Electronic Conference Proceedings","Hypermedia,electronic publishing,electronic  conference proceedings,digital video  Multimedia Information Systems-Evaluation/methodology,Hypertext navigation and maps,Video,Multi/mixed media",['A' 'H' 'I'],interactive electronic conference proceedings,digital video  multimedia information systems-evaluation/methodology,interactive electronic conference proceedings digital video  multimedia information systems-evaluation/methodology
680,Link-based Shaping of Hypermedia Webs Assisted by a Neural Agent,"information retrieval,neural networks,hypertext navigation",['H' 'I'],hypermedia webs assisted,information retrieval,hypermedia webs assisted information retrieval
683,"A Note on Linear-Nondeterminism, Linear-Sized, Karp-Lipton Advice for the P-Selective Sets","computational complexity,P-selectivity",['F'],karp-lipton advice,computational complexity,karp-lipton advice computational complexity
684,Balanced PRAM Simulations via Moving Threads and Hashing,"balanced workload,moving threads,EREW,shared  memory,simulation,work-optimal,randomized,OCPC,mesh of trees,coated mesh",['C' 'F' 'G'],balanced pram simulations,balanced workload,balanced pram simulations balanced workload
685,Some Basic Properties of General Nonperfect Secret Sharing Schemes,"secret sharing scheme,nonperfect",['E'],general nonperfect secret sharing schemes,secret sharing scheme,general nonperfect secret sharing schemes secret sharing scheme
688,Categorisation by Context,"information retrieval,Web search,text categorisation,hypertext navigation",['H' 'I'],categorisation,information retrieval,categorisation information retrieval
689,Improving the Effectiveness of WEB Search Engines Using Selectable Views of Retrieval Results,"information retrieval,document ranking,visualization of retrieval results,user interface  Retrieval,H.5.2 [Information Interfaces and Presentation,],: User Interfaces",['H'],web search engines,user interface  retrieval,web search engines user interface  retrieval
690,Building Flexible and Extensible Web Applications with Lua,"scripting languages,CGI,Web dynamic pages",['D' 'H'],extensible web applications,web dynamic pages,extensible web applications web dynamic pages
701,A Hybrid Subdivision Strategy for Adaptive Integration Routines,"quadrature,cubature,adaptive integration software",['G'],hybrid subdivision strategy,adaptive integration software,hybrid subdivision strategy adaptive integration software
705,On the Number of Keys of a Relational Database Schema,"relation schema,keys,inference system",['H'],relational database schema,relation schema,relational database schema relation schema
707,Functionality versus Practicality: Employing Existing Tools for Recovering Structural Design Patterns,"design patterns,design templates,reverse  engineering,search",['D' 'I'],recovering structural design patterns,design patterns,recovering structural design patterns design patterns
708,Linear Derivations for Keys of a Database Relation Schema,"database relation schema,keys,automated deduction",['H'],database relation schema,database relation schema,database relation schema database relation schema
710,Symbol Ranking Text Compression with Shannon Recodings,"text compression,Shannon,symbol ranking",['E'],symbol ranking text compression,text compression,symbol ranking text compression text compression
711,Prototyping on the PC with Programmable Hardware,"Rapid prototyping,PC hardware,PC coprocessor,programmable logic",['B'],programmable hardware,rapid prototyping,programmable hardware rapid prototyping
712,"Type Compatibility for Extensible Module Types, Their Reference Parameters, and Their Pointer Types","Object-Oriented languages,extensible module types,parameters and parameter passing,deref assignment,Borland Pascal with Objects,C++,Oberon,Object CHILL",['D'],extensible module types,extensible module types,extensible module types extensible module types
718,Recursive Abstract State Machines,"abstract state machines,recursion,distributed computations,concurrency",['F'],recursive abstract state machines,abstract state machines,recursive abstract state machines abstract state machines
721,The Constrained Shortest Path Problem: A Case Study in Using ASMs,"abstract state machine,software verification,shortest path problem,constrained shortest path problem",['D' 'F' 'G'],constrained shortest path problem,constrained shortest path problem,constrained shortest path problem constrained shortest path problem
723,Integrating ASMs into the Software Development Life Cycle,"Programming Techniques,Requirement Specification,Stepwise Refinement,Code Documentation,Code Inspection,Program Verification,Model Checking,Abstract State Machines.",['D'],software development life cycle,abstract state machines,software development life cycle abstract state machines
725,Montages Specifications of Realistic Programming Languages,"abstract state machines,language design,Montages,programming languages specifications,visual formalisms,modular specifications",['D' 'F'],realistic programming languages,abstract state machines,realistic programming languages abstract state machines
726,The Formal Specification of Oberon,"abstract state machines,Oberon,Montages,programming languages specifications,reference manuals",['D' 'F'],formal specification,abstract state machines,formal specification abstract state machines
727,Refining an ASM Specification of the Production Cell to C++ Code,"Programming Techniques,Stepwise Refinement,Code Documentation,Code Inspection,Abstract State Machines.",['D'],asm specification,abstract state machines,asm specification abstract state machines
729,On the Construction of Correct Compiler Back-Ends: An ASM-Approach,"Compiler,Operational Semantics,Verification,Abstract State Machine,Back-End Generator",['D'],correct compiler back-ends,abstract state machine,correct compiler back-ends abstract state machine
730,A Framework for Filtering News and Managing Distributed Data,"information filtering,information gathering,internet,agent-based systems,probabilistic model,memory-based reasoning",['H' 'I'],managing distributed data,information filtering,managing distributed data information filtering
731,Information Technology for Knowledge Management,"knowledg,e management,information technology,knowledge life-cycle,knowledge work processes,corporate memories,information filtering",['A' 'H' 'I' 'K'],information technology,knowledge work processes,information technology knowledge work processes
732,Negotiating the Construction and Reconstruction of Organisational Memories,"organisational memory,knowledge management,argumentation,participatory design,knowledge-based systems,collaborative systems",['H'],organisational memories,organisational memory,organisational memories organisational memory
733,Corporate Memories for Knowledge Management in Industrial Practice: Prospects and Challenges,"corporate memory,knowledge management,case studies",['H' 'I'],corporate memories,corporate memory,corporate memories corporate memory
734,Two Complementary Tools for the Cooperation in a Ministerial Environment,"CSCW,groupware,workflow,shared workspaces,design",['H'],complementary tools,shared workspaces,complementary tools shared workspaces
735,From Natural Language Documents to Sharable Product Knowledge: A Knowledge Engineering Approach,"Artificial Intelligence,Knowledge Acquisition,Knowledge Representation Formalisms and Methods,Natural Language Processing,Language Generation,Natural Language Interfaces",['H' 'I'],natural language documents,natural language processing,natural language documents natural language processing
736,Ariadne: Supporting Coordination through a Flexible Use of the Knowledge on Work Processes,"CSCW,coordination mechanisms,knowledge management,multi-agent systems",['H' 'I'],supporting coordination,coordination mechanisms,supporting coordination coordination mechanisms
737,Profiling with the INFOrmer Text Filtering Agent,"Text filtering,semantic network,spreading activation,relevance feedback.",['H'],informer text filtering agent,text filtering,informer text filtering agent text filtering
738,Optimal Description of Automatic Paperfolding Sequences,"paperfolding sequence,automatic sequence,uniform tag system",['F' 'G'],automatic paperfolding sequences,uniform tag system,automatic paperfolding sequences uniform tag system
741,On Two Aspects of Improving Web-Based Training,"Training,teaching,learning,courseware,web-based training,evaluation techniques",['J' 'K'],improving web-based training,evaluation techniques,improving web-based training evaluation techniques
742,A Note on Correctness Proofs for Overflow Detection Logic in Adders for d-th Complement Numbers,"d-ary arithmetic,correctness proof,computer science education,overflow testing",['B' 'K'],overflow detection logic,computer science education,overflow detection logic computer science education
749,Using Cryptographic Hash Functions for Discretionary Access Control in Object-Oriented Databases,"Data security,Database security,Object-oriented databases,Access control,Discretionary security policy,Application of cryptography.",['D' 'H' 'K'],cryptographic hash functions,discretionary security policy,cryptographic hash functions discretionary security policy
750,Free Space Modeling for Placing Rectangles without Overlapping,"Placement,algorithms,free space",['I'],free space modeling,free space,free space modeling free space
751,Highly Nonlinear t-Resilient Functions,"cryptology,Boolean function,nonlinearity,resiliency",['E'],highly nonlinear t-resilient functions,boolean function,highly nonlinear t-resilient functions boolean function
753,MONSTR II - Suspending Semantics and Independence,"Intermediate Languages,Term Graph Rewriting,MONSTR,Semantic Models",['D' 'F'],monstr ii,term graph rewriting,monstr ii term graph rewriting
754,Bounds on the Performance of Work-greedy Assignment Schemes,"Allocation,Dependency graphs,Instruction-level parallelism,Scheduling,Processor assignment.",['A'],work-greedy assignment schemes,dependency graphs,work-greedy assignment schemes dependency graphs
756,Stack Filter Design Using a Distributed Parallel Implementation of Genetic Algorithms,"Distributed Computation,Genetic Algorithms,Stack Filters,Image Processing",['D' 'G' 'I'],stack filter design,distributed computation,stack filter design distributed computation
758,Linear Multisecret-Sharing Schemes and Error-Correcting Codes,"Cryptosystems,error-correcting codes,information theory.",['E'],linear multisecret-sharing schemes,error-correcting codes,linear multisecret-sharing schemes error-correcting codes
759,MTAC - A Multithreaded VLIW Architecture for PRAM Simulation,"PRAM,VLIW,multithreading,chaining",['C'],multithreaded vliw architecture,pram,multithreaded vliw architecture pram
761,Why We Need an Explicit Forum for Negative Results,"FNR,forum,negative results,failures,research culture,progress.",['A' 'B' 'C' 'I' 'K'],explicit forum,negative results,explicit forum negative results
764,Formal Analysis of the Kerberos Authentication System,"Formal Methods,Security,Protocol specification,Refinement,Protocol verification,Key distribution protocol,Gurevich's Abstract State Machine,Kerberos.",['C' 'D'],kerberos authentication system,abstract state machine,kerberos authentication system abstract state machine
765,Abstract State Machine Semantics of SDL,"SDL,Basic SDL,Semantic Foundations,Telecommunication Systems,Formal Documentation,Executable Specifications,Abstract State Machines",['C' 'D' 'F'],abstract state machine semantics,abstract state machines,abstract state machine semantics abstract state machines
769,Generalizing BIAS Specifications,"specification,interval arithmetic",['D' 'K'],generalizing bias specifications,interval arithmetic,generalizing bias specifications interval arithmetic
770,Structured Parallel Computation in Structured Documents,"structured text,categorical data type,software development methodology,parallel algorithms,query evaluation",['D' 'H' 'I'],structured parallel computation,categorical data type,structured parallel computation categorical data type
773,Persistency of Confluence,"term rewriting system,persistency,confluence,modularity",['F'],persistency,term rewriting system,persistency term rewriting system
774,Constructive Aspects of the Dirichlet Problem,"Dirichlet problem,Hilbert space,Bishop's constructive mathematics",['G'],constructive aspects,dirichlet problem,constructive aspects dirichlet problem
775,Chaitin &#937; Numbers and Strong Reducibilities,"Chaitin ,&,#937; number,wtt-complete r.e. set,tt-complete r.e. set",['F'],strong reducibilities,chaitin,strong reducibilities chaitin
776,Optimum Extendible Prefix Codes,"Kraft's inequality,Huffman tree,optimum extendible prefix code",['F'],optimum extendible prefix codes,optimum extendible prefix code,optimum extendible prefix codes optimum extendible prefix code
777,Minimal Deterministic Incomplete Automata,"Minimality,incomplete automata",['F'],minimal deterministic incomplete automata,incomplete automata,minimal deterministic incomplete automata incomplete automata
778,A Note on the Computability of Graph Minor Obstruction Sets for Monadic Second Order Ideals,"well-quasi-ordering,monadic second order logic,decidability",['F' 'G'],graph minor obstruction sets,order logic,graph minor obstruction sets order logic
779,Too Many Minor Order Obstructions (For Parameterized Lower Ideals),"graph minors,obstruction sets,polynomial hierarchy",['F' 'G'],minor order obstructions,graph minors,minor order obstructions graph minors
780,Representing Variable-Length Codes in Fixed-Length T-Depletion Format in Encoders and Decoders,"variable-length codes,T-Codes,encoders,decoders,representation",['H'],representing variable-length codes,variable-length codes,representing variable-length codes variable-length codes
781,Invariance Properties of Random Sequences,"Randomness,invariance properties",['F'],invariance properties,invariance properties,invariance properties invariance properties
782,Surjective Functions on Computably Growing Cantor Sets,"Computable maps on infinite sequences,co-r.e. closed sets,Cantor sets,computability and measure",['F'],computably growing cantor sets,computable maps,computably growing cantor sets computable maps
783,Effectiveness of the Completeness Theorem for an Intermediate Logic,"computability,Kripke models,completeness,jump operator,intermediate logics.",['F'],completeness theorem,kripke models,completeness theorem kripke models
784,Sequential Continuity of Linear Mappings in Constructive Mathematics,"sequential continuity,pointwise continuity,linear mappings,constructive mathematics",['F'],sequential continuity,sequential continuity,sequential continuity sequential continuity
785,Imperfect Information Flow of Agents Communication in Arrow Logic,"arrow logic,agent,communication,modal operator,information flow,belief",['I'],imperfect information flow,arrow logic,imperfect information flow arrow logic
788,The Dortmund Family of Hypermedia Models - Concepts and their Application,"hypermedia,hypermedia model,hypermedia system,hypermedia structuring",['H' 'I'],dortmund family,hypermedia model,dortmund family hypermedia model
790,An Optimal Parallel Algorithm for Learning DFA,"computational learning theory,query learning,membership query,equivalence query,DFA,optimal parallel learning",['F'],optimal parallel algorithm,computational learning theory,optimal parallel algorithm computational learning theory
792,On the Difficulty of Constructing Cryptographically Strong Substitution Boxes,"cryptography,differential attack,linear attack,permutations,substitution boxes (S-boxes)",['E'],constructing cryptographically strong substitution boxes,differential attack,constructing cryptographically strong substitution boxes differential attack
794,Integrated Multimedia-Based Distance Teaching of Information Technology,"information technology,computer engineering,distance teaching,multimedia,integrated electronic documents",['H'],integrated multimedia-based distance teaching,integrated electronic documents,integrated multimedia-based distance teaching integrated electronic documents
795,Educational Video and TV in Distance Education - Production and Design Aspects -,"distance education,instructional film,educational television,educational design",['A'],design aspects -,distance education,design aspects - distance education
796,ASIC Design at Home,"ASIC design,integrated circuits,free software,unix,Linux,PC software,diploma thesis",['B' 'K'],asic design,asic design,asic design asic design
798,Media Publishing in Distance Teaching,"multimedia development,media publishing,online systems in distance teaching",['H'],media publishing,multimedia development,media publishing multimedia development
801,On Combining the Knowledge of Heterogeneous Information Repositories,"distributed agent system,knowledge brokers,information gathering,data retrieval,Internet.",['H'],heterogeneous information repositories,distributed agent system,heterogeneous information repositories distributed agent system
802,Ceilings of Monotone Boolean Functions,"Complexity measures,combinational networks,monotone Boolean functions",['F'],monotone boolean functions,monotone boolean functions,monotone boolean functions monotone boolean functions
803,Disjunctive Omega-Words and Real Numbers,"Ï‰-words,number representations,invariant properties,disjunctiveness,normality,periods of rational numbers",['F'],disjunctive omega-words,number representations,disjunctive omega-words number representations
805,The Edge-Flipping Distance of Triangulations,"triangulation,edge-flipping operation,flip,edge-flipping distance,rotation distance",['F' 'G'],edge-flipping distance,edge-flipping operation,edge-flipping distance edge-flipping operation
806,LATE: A Unified Concept for a Learning And Teaching Environment,"WWW,Web,distance teaching,authoring,CAI,CBT,CSCW,educational software,HyperWave,Hyper-G,HM-Card",['C' 'H' 'K'],unified concept,distance teaching,unified concept distance teaching
817,Computer-Supported Human Cooperation in Electronic Classrooms,"Computer science education,case study,computer supported cooperative work,education,electronic classrooms,groupware",['K'],computer-supported human cooperation,computer supported cooperative work,computer-supported human cooperation computer supported cooperative work
822,Remarks on Propagating Partition-Limited ETOL Systems,"Formal languages,parallel rewriting systems,k-limited systems",['F'],propagating partition-limited etol systems,parallel rewriting systems,propagating partition-limited etol systems parallel rewriting systems
823,Data Compression and Serial Communication with Generalized T-Codes,"T-Codes,coding,synchronisation,T-augmentation,recursive code,coding efficiency,redundancy,string decomposition",['H'],data compression,recursive code,data compression recursive code
827,Delivering Hypertext Based Courseware on the WWW,"Courseware,World-Wide-Web,online,parallel computing,C programming,computer vision.",['H' 'K'],delivering hypertext based courseware,parallel computing,delivering hypertext based courseware parallel computing
828,Evaluating and Improving WWW-Aided Instruction,"Multimedia Information Systems [Evaluation/Methodology,],Computer Uses in Education,World-Wide Web,Hypertext Document Design and Preparation,Computer Science Education,Computer Literacy.",['H' 'I' 'K'],improving www-aided instruction,multimedia information systems [evaluation/methodology,improving www-aided instruction multimedia information systems [evaluation/methodology
831,Curve Fitting and Interpolation of Biological Data Under Uncertainties,"Interpolation,least squares approximation,verification,model validation,algebraic manipulations,computer algebra systems,enzyme kinetics,uncertainties,interval arithmetic",['G' 'I' 'J'],curve fitting,computer algebra systems,curve fitting computer algebra systems
832,Inexact Information Systems and its Application to Approximate Reasoning,"Linguistic approach,fuzzy implication,fuzzy quantifier,fuzzy number,approximate reasoning,information system.",['H' 'I' 'J'],inexact information systems,linguistic approach,inexact information systems linguistic approach
833,Dedicated Hardware for Biological Sequence Comparison,"Hardware,Biological Sequence Comparison,DNA,FPGA,VLSI",['B'],biological sequence comparison,biological sequence comparison,biological sequence comparison biological sequence comparison
836,MONSTR I - Fundamental Issues and the Design of MONSTR,"Intermediate Languages,Term Graph Rewriting,MONSTR,Semantic Models",['C' 'D' 'F'],fundamental issues,term graph rewriting,fundamental issues term graph rewriting
838,The Power of Restricted Splicing with Rules from a Regular Language,"DNA recombination,splicing systems,molecular genetics,Chomsky hierarchy,regulated rewriting,abstract families of languages",['F'],restricted splicing,dna recombination,restricted splicing dna recombination
852,On Completeness of Pseudosimple Sets,"Completeness,Pseudosimple set,Effectivization,Extensionally bounded function",['G'],pseudosimple sets,extensionally bounded function,pseudosimple sets extensionally bounded function
853,A Variant of Team Cooperation in Grammar Systems,"Formal languages,grammar systems,teams",['F'],team cooperation,formal languages,team cooperation formal languages
855,A Scalable Architecture for Maintaining Referential Integrity in Distributed Information Systems,"Hypertext,Link Consistency,Distributed Information System,Internet,Gopher,WWW,Hyper-G,Scalability,p-flood",['C' 'H'],maintaining referential integrity,distributed information system,maintaining referential integrity distributed information system
856,The Relationship Between Propagation Characteristics and Nonlinearity of Cryptographic Functions,"Cryptography,Boolean functions,Encryption functions,Nonlinearity,Propagation Characteristics,SAC,S-boxes",['E'],propagation characteristics,boolean functions,propagation characteristics boolean functions
858,The Hyper-G Network Information System,"Hypermedia,information system,information visualisation,graphical interaction,Internet",['H'],network information system,information system,network information system information system
859,About WWW,"WWW,World-Wide Web,History,SGML,cultural Aspects,Society.",['H'],www,world-wide web,www world-wide web
861,Evolution of Internet Gopher,"Distributed Information Systems,Internet Gopher,Gopher+",['H'],internet gopher,distributed information systems,internet gopher distributed information systems
864,An Efficient Distributed Algorithm For st-numbering the Vertices of a Biconnected Graph,"Distributed graph algorithms,st-numbering,biconnected graph",['G'],efficient distributed algorithm,distributed graph algorithms,efficient distributed algorithm distributed graph algorithms
866,A Method for Proving Theorems in Differential Geometry and Mechanics,"Differential geometry,mechanics,polynomial elimination,theorem proving,triangular system,zero decomposition",['I'],proving theorems,differential geometry,proving theorems differential geometry
868,Digital Libraries as Learning and Teaching Support,"Digital libraries,electronic libraries,learning support,teaching support,instructional technology,CAI,CBT",['H' 'K'],digital libraries,digital libraries,digital libraries digital libraries
869,Testing a High-Speed Data Path The Design of the RSAb Crypto Chip,"high speed multipliers,hardware algorithms,design for testability,public key cryptography",['B' 'E'],high-speed data path,high speed multipliers,high-speed data path high speed multipliers
870,A Comparison of WWW and Hyper-G,"Hypermedia,Hyper-G,WWW,Xanadu,networked information systems,Internet",['H'],comparison,networked information systems,comparison networked information systems
874,Round-off Error Propagation in the Solution of the Heat Equation by finite Differences,"Floating point arithmetic,numerical error propagation,partial differential equations,finite difference methods",['G'],error propagation,floating point arithmetic,error propagation floating point arithmetic
875,LCF: A Lexicographic Binary Representation of the Rationals,"Computer arithmetic,continued fractions,lexicographic,number systems,number theory,rational numbers.",['B' 'E' 'G'],lexicographic binary representation,computer arithmetic,lexicographic binary representation computer arithmetic
877,A High Radix On-line Arithmetic for Credible and Accurate Computing,"High-radix,on-line arithmetic,precision,accurate,reliable,credible,super-scaler,VLIW.",['B'],high radix on-line arithmetic,on-line arithmetic,high radix on-line arithmetic on-line arithmetic
878,On Directed Interval Arithmetic and its Applications,"computer arithmetic,error analysis,interval algebraic manipulation",['G' 'I'],directed interval arithmetic,interval algebraic manipulation,directed interval arithmetic interval algebraic manipulation
879,MSB-First Digit Serial Arithmetic,"Computer Arithmetic,On-line Computation,Number Representations,Redundant Digit sets,Continued Fractions,Intervals",['B'],digit serial arithmetic,redundant digit sets,digit serial arithmetic redundant digit sets
881,On a Formally Correct Implementation of IEEE Computer Arithmetic,"computer arithmetic,implementation,IEEE standards,exception handling",['G'],formally correct implementation,computer arithmetic,formally correct implementation computer arithmetic
884,Modular Range Reduction,"Computer Arithmetic,Elementary Functions,Range Reduction",['B' 'G'],modular range reduction,computer arithmetic,modular range reduction computer arithmetic
889,Conditional Tabled Eco-Grammar Systems,"Grammar systems,L systems,Artificial Life",['F'],conditional tabled eco-grammar systems,artificial life,conditional tabled eco-grammar systems artificial life
890,HOME: An Environment for Hypermedia Objects,"HOME,distributed hypermedia,networked multimedia,image store,navigation,query",['H' 'I'],hypermedia objects,distributed hypermedia,hypermedia objects distributed hypermedia
892,Software Patents and The Internet,"Software patents,debate,Internet,Compuserve,Unisys,LZW GIF",['K'],software patents,software patents,software patents software patents
895,A Translation of the Pi-Calculus Into MONSTR,"Concurrency,Pi-Calculus,Term Graph Rewriting,MONSTR,Process Networks,Simulation,Serialisability.",['D' 'F'],translation,term graph rewriting,translation term graph rewriting
896,Distributed Caching in Networked File Systems,"networked file systems,distributed file caches,load balancing,file system performance",['C' 'D'],networked file systems,networked file systems,networked file systems networked file systems
897,From Personal Computer to Personal Assistant,"Electronic assistants,electronic agents,message pads,searches,prediction,programming by example,voice commands.",['H'],personal computer,electronic assistants,personal computer electronic assistants
900,An Aperiodic Set of Wang Cubes,"discrete mathematics,automata theory,aperiodic tilings,Wang tiles,Wang cubes,sequential machines",['F' 'G'],aperiodic set,discrete mathematics,aperiodic set discrete mathematics
901,Contained Hypermedia,"hypermedia data modeling,automatic link maintenance",['H' 'I'],contained hypermedia,hypermedia data modeling,contained hypermedia hypermedia data modeling
902,Authoring on the Fly,"electronic courseware,hypermedia,whiteboard,distance teaching",['H'],authoring,electronic courseware,authoring electronic courseware
905,Constraint Agents for the Information Age,"multiagent coordination,agent-interaction,distributed problem solving,signed feature constraints,negotiation,cooperation strategies.",['H' 'I'],constraint agents,distributed problem solving,constraint agents distributed problem solving
906,Parikh Prime Words and GO-like Territories,"formal languages,context free languages,L-systems,Parikh mapping,word problems",['F' 'G'],parikh prime words,context free languages,parikh prime words context free languages
907,Exploiting Parallelism in Constraint Satisfaction for Qualitative Simulation,"Parallel constraint satisfaction,QSim,distributed AI",['C' 'F' 'I'],exploiting parallelism,parallel constraint satisfaction,exploiting parallelism parallel constraint satisfaction
910,Levels of Anonymity,"security,anonymous use,access control,authentication,big brother",['C' 'D' 'K'],levels,access control,levels access control
911,What Is a Random String?,"Blank-endmarker complexity,Chaitin (self-delimiting) complexity,random ,strings.",['G'],random string,blank-endmarker complexity,random string blank-endmarker complexity
912,High-radix Division with Approximate Quotient-digit Estimation,"Division,high radix,approximate digit estimates",['B'],approximate quotient-digit estimation,approximate digit estimates,approximate quotient-digit estimation approximate digit estimates
913,On Implementing EREW Work-Optimally on Mesh of Trees,"EREW,mesh of trees,shared memory,simulation,work-optimal,randomized,coated mesh.",['C' 'F' 'G'],implementing erew work-optimally,shared memory,implementing erew work-optimally shared memory
914,Grammars Based on the Shuffle Operation,"Shuffle operation,Chomsky grammars,L Systems",['F'],grammars based,shuffle operation,grammars based shuffle operation
916,BROCA : A Computerized Environment for Mediating Scientific Reasoning through Writing,"Computers and Education,Computer Uses in Education",['K'],mediating scientific reasoning,computers,mediating scientific reasoning computers
917,Differential Ziv-Lempel Text Compression,"text compression,LZ-77,arithmetic coding,vector quantisation",['H'],differential ziv-lempel text compression,text compression,differential ziv-lempel text compression text compression
919,A Robust Affine Matching Algorithm Using an Exponentially Decreasing Distance Function,"Affine Matching,Spatial Registration,Information Fusion,Image Understanding",['I'],robust affine matching algorithm,affine matching,robust affine matching algorithm affine matching
928,A Multi-objective Genetic Approach to Mapping Problem on Network-on-Chip,"system-on-chip,network-on-chip,mapping,multi-objective optimization,evolutionary algorithm,simulation",['B' 'D' 'G' 'I'],multi-objective genetic approach,multi-objective optimization,multi-objective genetic approach multi-objective optimization
929,Pareto-Optimal Hardware for Substitution Boxes,"S-box,cryptography,genetic algorithms,evolvable hardware,multi-objective optimisation",['B' 'C' 'E' 'I'],pareto-optimal hardware,genetic algorithms,pareto-optimal hardware genetic algorithms
930,Automatic Programming Methodologies for Electronic Hardware Fault Monitoring,"genetic programming,neural networks,decision trees,fault monitoring,computational intelligence,electronic hardware",['B' 'I'],electronic hardware fault monitoring,genetic programming,electronic hardware fault monitoring genetic programming
931,Multi-Objective Evolutionary Algorithms and Pattern Search Methods for Circuit Design Problems,"evolutionary electronics,multi-objective optimization,circuit design problems,evolutionary algorithms,genetic algorithms,classical optimization methods,pattern search methods,operational transconductance amplifier,leapfrog filter",['B' 'I' 'J'],multi-objective evolutionary algorithms,circuit design problems,multi-objective evolutionary algorithms circuit design problems
932,DS/CDMA Multiuser Detection with Evolutionary Algorithms,"genetic algorithm,evolutionary computation,multiuser detection,code division multiple access",['D' 'J'],ds/cdma multiuser detection,code division multiple access,ds/cdma multiuser detection code division multiple access
935,On-line Monitoring of Metric Temporal Logic with Time-Series Constraints Using Alternating Finite Automata,"formal specification,temporal logic,run-time monitoring,run-time verification,alternating automata,time series,assertions,reactive systems",['D' 'F'],metric temporal logic,formal specification,metric temporal logic formal specification
936,Reversible Karatsuba's Algorithm,"reversible computing,,reversible circuit,arithmetic operations,multiplier",['B' 'F'],reversible karatsuba,reversible computing,reversible karatsuba reversible computing
