ID,Title,Keywords,FirstLevel,titleCleanedLem,keywordCleanedLem,titleCleanedStem,keywordCleanedStem,titleRelevantLem,keywordRelevantLem
936,Reversible Karatsuba's Algorithm,"reversible computing,,reversible circuit,arithmetic operations,multiplier",['B' 'F'],reversible karatsuba algorithm,reversible computing circuit operation arithmetic multiplier,revers karatsuba algorithm,arithmet revers circuit oper multipli comput,reversible karatsuba algorithm,reversible computing circuit operation arithmetic multiplier
938,"Completeness in the Boolean Hierarchy: Exact-Four-Colorability, Minimal Graph Uncolorability, and Exact Domatic Number Problems - a Survey","Boolean hierarchy,completeness,exact colorability,exact domatic number,minimal uncolorability",['F'],hierarchy minimal graph uncolorability exact boolean completeness survey number domatic exact-four-colorability problem,hierarchy minimal uncolorability colorability exact boolean completeness number domatic,hierarchi graph complet exact domat uncolor boolean exact-four-color survey minim number problem,hierarchi complet domat exact uncolor boolean minim color number,hierarchy minimal graph uncolorability exact boolean completeness survey number domatic problem,hierarchy minimal uncolorability exact boolean completeness number domatic
939,Pervasive Health Management and Health Management Utilizing Pervasive Technologies : Synergy and Issues,"health,pervasive technology,human information processing,societal issues,portable devices,expert systems",['C' 'H' 'I' 'J' 'K'],utilizing issue management health synergy technology pervasive,human information issue system device societal processing portable health technology expert pervasive,manag issu pervas technolog synergi util health,human inform system issu pervas devic societ technolog portabl health expert process,utilizing issue management health synergy technology pervasive,human information issue system device societal processing portable health technology expert pervasive
940,Health Monitoring and Assistance to Support Aging in Place,"multiagent systems,artificial intelligence,smart environments",['I'],assistance place aging support monitoring health,environment system smart artificial multiagent intelligence,assist place support monitor health age,system environ artifici smart multiag intellig,assistance place aging support monitoring health,environment system smart artificial multiagent intelligence
941,A New System Dedicated to Real-time Cardiac Arrhythmias Tele-assistance and Monitoring,"real-time telemedicine,wireless ECG sensor,cardiac arrhythmias,automatic ECG diagnosis,embedded micro-kernel",['C' 'H' 'J'],system dedicated arrhythmia monitoring cardiac tele-assistance real-time new,embedded micro-kernel sensor diagnosis arrhythmia automatic telemedicine wireless cardiac real-time ecg,system arrhythmia tele-assist real-tim monitor dedic cardiac new,automat diagnosi micro-kernel embed sensor arrhythmia wireless real-tim cardiac telemedicin ecg,system dedicated arrhythmia monitoring cardiac new,embedded sensor diagnosis arrhythmia automatic telemedicine wireless cardiac ecg
942,CAMMD: Context-Aware Mobile Medical Devices,"telemedicine,mobile devices,context-aware computing,agent technology",['H' 'I'],context-aware cammd device medical mobile,context-aware agent computing device telemedicine technology mobile,cammd devic mobil medic context-awar,agent devic context-awar technolog mobil telemedicin comput,cammd device medical mobile,agent computing device telemedicine technology mobile
943,The Impact of Behavioral Monitoring Technology on the Provision of Health Care in the Home,"smart-home technology,telemedicine,behavioral monitoring,care provision,web-based services",['J' 'K'],behavioral impact home care monitoring health technology provision,smart-home behavioral telemedicine web-based care monitoring service technology provision,provis impact home behavior technolog care monitor health,provis servic smart-hom web-bas behavior technolog care monitor telemedicin,behavioral impact home care monitoring health technology provision,behavioral telemedicine care monitoring service technology provision
944,A Collaborative Biomedical Research System,"cancer,computerized patient records,natural language processing,bioinformatics,privacy,confidentiality,security,electronic health records",['H' 'I' 'J' 'K'],biomedical research collaborative system,cancer computerized record privacy patient security natural processing electronic confidentiality health language bioinformatics,collabor research system biomed,cancer record patient confidenti languag computer privaci natur health secur bioinformat process electron,biomedical research collaborative system,cancer computerized record privacy patient security natural processing electronic confidentiality health language bioinformatics
945,A Pervasive Multimodal Tele-Home Healthcare System,"pervasive computing,home healthcare,agent,Jini",['H' 'J'],tele-home system multimodal healthcare pervasive,jini agent computing home healthcare pervasive,system tele-hom healthcar pervas multimod,jini agent healthcar pervas home comput,system multimodal healthcare pervasive,jini agent computing home healthcare pervasive
948,Quality of Privacy (QoP) for the Design of Ubiquitous Healthcare Applications,"quality of privacy,ubiquitous computing,privacy-aware computing,ubiquitous healthcare",['H' 'K'],privacy design ubiquitous qop application healthcare quality,privacy-aware privacy computing ubiquitous healthcare quality,design healthcar privaci qop qualiti applic ubiquit,healthcar privaci qualiti privacy-awar ubiquit comput,privacy design ubiquitous qop application healthcare quality,privacy computing ubiquitous healthcare quality
949,Visualization Services in a Conference Context: An Approach by RFID Technology,"ubiquitous computing,context aware,RFID,implicit interaction,visualization,information mosaics",['F' 'H'],visualization conference context approach service technology rfid,mosaic visualization aware interaction computing context ubiquitous implicit information rfid,visual servic confer context technolog approach rfid,mosaic interact visual rfid context awar implicit ubiquit inform comput,visualization conference context approach service technology rfid,mosaic visualization aware interaction computing context ubiquitous implicit information rfid
950,A Mechanism for Solving Conflicts in Ambient Intelligent Environments,"intelligent environments,ambience intelligence,context awareness,privacy",['H'],environment ambient solving mechanism conflict intelligent,environment privacy context intelligence awareness intelligent ambience,environ ambient mechan conflict intellig solv,ambienc environ context privaci awar intellig,environment ambient solving mechanism conflict intelligent,environment privacy context intelligence awareness intelligent ambience
951,EMIlets: A Reflective Framework for Enabling AmI,"ambient intelligence,pervasive computing,middleware,smart spaces",['C' 'D'],emilets framework enabling ami reflective,middleware computing ambient smart intelligence space pervasive,emilet enabl reflect framework ami,ambient pervas smart space intellig middlewar comput,emilets framework enabling ami reflective,middleware computing ambient smart intelligence space pervasive
953,A Modular Architecture for Nodes in Wireless Sensor Networks,"wireless sensor networks,modular architecture,sensor network node,hardware node design",['B'],network sensor modular wireless architecture node,design network sensor modular node wireless architecture hardware,architectur network sensor modular wireless node,architectur design network sensor modular wireless node hardwar,network sensor modular wireless architecture node,design network sensor modular node wireless architecture hardware
954,Development of Ambient Intelligence Applications using Components and Aspects,"aspects,middleware,components,ambient intelligence,pervasive computing",['D'],ambient aspect development intelligence application component using,middleware computing ambient aspect intelligence component pervasive,compon develop ambient aspect applic use intellig,compon ambient pervas aspect intellig middlewar comput,ambient aspect development intelligence application component using,middleware computing ambient aspect intelligence component pervasive
955,Information and Hybrid Architecture Model of the OCP Contextual Information Management System,"context-awareness,semantic web,decision rules,hybrid architecture,information merging",['C' 'H' 'I' 'J' 'K'],hybrid ocp system management contextual architecture information model,hybrid merging decision web context-awareness rule architecture information semantic,hybrid manag ocp architectur system contextu inform model,hybrid architectur decis merg web semant rule inform context-awar,hybrid ocp system management contextual architecture information model,hybrid merging decision web rule architecture information semantic
957,Secure Service Discovery based on Trust Management for ad-hoc Networks,"ad-hoc networks,service discovery protocol,security,trust",['C'],based trust management network discovery secure ad-hoc service,trust protocol security network discovery ad-hoc service,manag trust servic network ad-hoc discoveri secur base,trust protocol servic network ad-hoc discoveri secur,based trust management network discovery secure service,trust protocol security network discovery service
958,Restricting the View and Connecting the Dots Dangers of a Web Search Engine Monopoly,"Web mining,search engines and information retrieval,social issues",['H' 'I' 'K'],danger engine web search view dot connecting restricting monopoly,issue social engine web search mining information retrieval,danger monopoli engin web search connect view dot restrict,mine engin social issu web search retriev inform,danger engine web search view dot connecting restricting monopoly,issue social engine web search mining information retrieval
959,Modeling Inheritance as Coercion in the Kenzo System,"algebraic specification,symbolic computation,inheritance,coercion",['F'],system coercion modeling inheritance kenzo,computation specification coercion inheritance algebraic symbolic,inherit system coercion kenzo model,inherit symbol coercion comput specif algebra,system coercion modeling inheritance kenzo,computation specification coercion inheritance algebraic symbolic
960,A Formal Architectural Description Language based on Symbolic Transition Systems and Temporal Logic,"architectural description language,component based software engineering,mixed formal specifications,symbolic transition system,temporal logic glue,abstract data types,graphical notations",['D'],based formal system temporal architectural description language transition symbolic logic,formal temporal type software mixed language logic engineering data transition graphical based system architectural glue notation abstract specification description component symbolic,architectur descript formal system languag tempor symbol transit base logic,formal type compon graphic softwar logic mix descript tempor transit notat data specif system languag glue abstract architectur engin symbol base,based formal system temporal architectural description language transition symbolic logic,formal temporal type software mixed language logic engineering data transition graphical based system architectural glue notation abstract specification description component symbolic
961,Persian/Arabic Baffletext CAPTCHA,"completely automated public Turing test to tell computers and human apart (CAPTCHA),Persian and Arabic text,BaffleText,optical character recognition (OCR),internet security",['I'],persian/arabic captcha baffletext,ocr computer test apart tell human security automated captcha optical turing persian public text recognition arabic internet character baffletext completely,persian/arab captcha baffletext,ocr optic complet autom test apart tell human recognit ture captcha charact comput persian public text internet baffletext arab secur,captcha baffletext,ocr computer test apart tell human security automated captcha optical turing persian public text recognition arabic internet character baffletext completely
963,The Design of the YAP Compiler: An Optimizing Compiler for Logic Programming Languages,"dynamic compilation,Just-in-Time compiler,compiler optimizations",['C' 'D'],programming design optimizing yap language compiler logic,optimization dynamic just-in-time compilation compiler,logic optim design languag yap compil program,dynam optim just-in-tim compil,programming design optimizing yap language compiler logic,optimization dynamic compilation compiler
964,Generic Process Algebra: A Programming Challenge,"Process Algebra,coinduction,coalgebra",['D' 'F'],programming generic challenge process algebra,coalgebra coinduction process algebra,challeng gener program process algebra,coalgebra coinduct process algebra,programming generic challenge process algebra,coalgebra coinduction process algebra
965,Our Experiences with Optimizations in Sun's Java Just-In-Time Compilers,"Dynamic compilation,Just-in-Time compiler,compiler optimizations",['C' 'D'],optimization sun just-in-time java compiler experience,optimization dynamic just-in-time compilation compiler,optim experi just-in-tim sun java compil,dynam optim just-in-tim compil,optimization sun java compiler experience,optimization dynamic compilation compiler
966,Detecting Bad Smells in AspectJ,"aspect oriented software development,AspectJ language,,refactoring",['D'],smell detecting bad aspectj,oriented aspectj aspect software development refactoring language,detect smell bad aspectj,develop languag aspectj aspect softwar orient refactor,smell detecting bad aspectj,oriented aspectj aspect software development refactoring language
967,Program Slicing by Calculation,"program slicing,functional programming,program analysis",['D' 'I'],program slicing calculation,programming analysis functional slicing program,slice program calcul,analysi slice function program,program slicing calculation,programming analysis functional slicing program
968,The Language of the Visitor Design Pattern,"context free grammar,visitor pattern,visitor language,method invocation sequence,essential aspect",['D' 'F'],language pattern visitor design,free context method grammar aspect visitor invocation language pattern essential sequence,design pattern languag visitor,free invoc context method sequenc languag grammar aspect visitor essenti pattern,language pattern visitor design,free context method grammar aspect visitor invocation language pattern essential sequence
969,Strong Mobility in Mobile Haskell,"mobile computation,strong mobility,functional programming,Haskell",['D'],haskell mobility mobile strong,mobility programming computation strong functional haskell mobile,mobil haskel strong,program function haskel strong mobil comput,haskell mobility mobile strong,mobility programming computation strong functional haskell mobile
970,An Object Model for Interoperable Systems,"object model,interoperability,virtual machine",['C' 'D'],object interoperable system model,object virtual interoperability machine model,interoper object system model,interoper object virtual machin model,object interoperable system model,object virtual interoperability machine model
971,Expressing Workflow Patterns for Web Services: The Case of PEWS,"workflow patterns,programming languages,web services",['C' 'D'],web expressing case service pattern pew workflow,programming web language service pattern workflow,servic express web case pattern pew workflow,servic languag web workflow pattern program,web expressing case service pattern pew workflow,programming web language service pattern workflow
972,Defining Atomic Composition in UML Behavioral Diagrams,"UML,semantics,nonsequential automata",['D' 'F'],behavioral diagram composition defining uml atomic,nonsequential semantics automaton uml,defin diagram composit atom behavior uml,semant uml automata nonsequenti,behavioral diagram composition defining uml atomic,nonsequential semantics automaton uml
973,Type-safe Versioned Object Query Language,"operational semantics,object-oriented database management systems,type systems,query languages",['F' 'H'],versioned query object language type-safe,database management type system semantics query operational language object-oriented,type-saf queri languag object version,manag type system queri languag semant databas oper object-ori,versioned query object language,database management type system semantics query operational language
976,Sequential Data Assimilation: Information Fusion of a Numerical Simulation and Large Scale Observation Data,"particle filter,simulation science,data fusion",['G' 'I' 'J'],large assimilation simulation scale sequential observation fusion information data numerical,filter particle simulation fusion science data,larg assimil numer scale observ simul fusion sequenti inform data,filter scienc simul fusion particl data,large assimilation simulation scale sequential observation fusion information data numerical,filter particle simulation fusion science data
977,Data Mining Methods for Discovering Interesting Exceptions from an Unsupervised Table,"exception,instance,rule,interestingness,unexpectedness,pattern,data mining",['I'],table exception method mining unsupervised data interesting discovering,instance exception mining unexpectedness interestingness rule data pattern,mine method except unsupervis discov interest data tabl,mine unexpected except instanc rule interesting pattern data,table exception method mining unsupervised data interesting discovering,instance exception mining unexpectedness interestingness rule data pattern
978,Randomness and Secrecy - A Brief Introduction,"security,cryptography,randomness",['E' 'F'],randomness brief introduction secrecy,cryptography randomness security,secreci introduct random brief,cryptographi secur random,randomness brief introduction secrecy,cryptography randomness security
979,Pseudorandom Number Generation: Impossibility and Compromise,"random number generation,pseudorandom number generation,Mersenne Twister,Monte Carlo methods,simulation",['G'],generation impossibility compromise pseudorandom number,generation method simulation pseudorandom twister carlo number mersenne random monte,gener compromis imposs pseudorandom number,mersenn gener method pseudorandom simul twister carlo number mont random,generation impossibility compromise pseudorandom number,generation method simulation pseudorandom twister carlo number mersenne random monte
980,Progress in Quantum Computational Cryptography,"computational cryptography,quantum computing,quantum cryptography",['E' 'F'],cryptography quantum computational progress,cryptography computing quantum computational,cryptographi quantum progress comput,cryptographi quantum comput,cryptography quantum computational progress,cryptography computing quantum computational
981,Testing Membership in Formal Languages Implicitly Represented by Boolean Functions,"binary decision diagrams (BDDs),boolean functions,branching programs (BPs),computational complexity,formal languages,property testing,randomness,sublinear algorithms",['F' 'G'],testing formal implicitly boolean function represented language membership,randomness computational decision formal testing complexity algorithm diagram sublinear bdds binary boolean function branching language bps property program,formal languag boolean repres function implicitli membership test,bdd complex formal decis algorithm diagram properti program languag sublinear boolean function bp binari branch random test comput,testing formal implicitly boolean function represented language membership,randomness computational decision formal testing complexity algorithm diagram sublinear bdds binary boolean function branching language bps property program
982,"Improving Deterministic and Randomized Exponential-Time Algorithms for the Satisfiability, the Colorability, and the Domatic Number Problem","exact computation,exponential-time algorithms,deterministic algorithms,randomized algorithms",['F'],algorithm colorability randomized deterministic improving exponential-time satisfiability number domatic problem,algorithm exact computation deterministic exponential-time randomized,exponential-tim determinist algorithm domat satisfi color improv number random problem,exponential-tim determinist algorithm exact random comput,algorithm colorability randomized deterministic improving satisfiability number domatic problem,algorithm exact computation deterministic randomized
983,Randomized Algorithms and Complexity Theory,"randomized algorithms,randomized complexity classes",['F'],randomized theory algorithm complexity,complexity randomized class algorithm,theori random algorithm complex,algorithm complex random class,randomized theory algorithm complexity,complexity randomized class algorithm
985,Proving Properties for Behavioural Specifications with Term Observation,"behavioural specifications,term observation,observable contexts,covering contexts",['F'],behavioural proving term specification observation property,behavioural term context covering specification observation observable,properti term behaviour prove observ specif,term context behaviour observ specif cover,behavioural proving term specification observation property,behavioural term context covering specification observation observable
986,Ridge Orientation Estimation and Verification Algorithm for Fingerprint Enhancement,"fingerprint,enhancement,Gabor filter,orientation estimation",['I'],estimation fingerprint ridge algorithm verification enhancement orientation,filter estimation fingerprint gabor enhancement orientation,estim fingerprint algorithm verif enhanc orient ridg,estim filter fingerprint gabor enhanc orient,estimation fingerprint ridge algorithm verification enhancement orientation,filter estimation fingerprint gabor enhancement orientation
987,Fault Tolerant Neural Predictors for Compression of Sensor Telemetry Data,"data compression,error tolerance,neural networks,predictors",['E' 'H' 'I'],tolerant fault neural sensor compression predictor data telemetry,neural network compression tolerance predictor data error,telemetri fault neural sensor compress predictor toler data,neural network compress predictor toler error data,tolerant fault neural sensor compression predictor data telemetry,neural network compression tolerance predictor data error
988,Time-varying H Systems Revisited,"DNA computing,molecular computing,splic,ing systems",['F'],time-varying system revisited,system computing ing dna molecular splic,revisit time-vari system,system ing dna molecular splic comput,system revisited,system computing ing dna molecular splic
991,An Interval Constraint Branching Scheme for Lattice Domains,"interval constraint,constraint branching,constraint solving,constraint optimization,constraint propagation",['D' 'I'],interval domain constraint scheme branching lattice,interval propagation constraint optimization solving branching,domain lattic constraint scheme interv branch,optim constraint propag interv solv branch,interval domain constraint scheme branching lattice,interval propagation constraint optimization solving branching
992,Constraint Based Methods for Biological Sequence Analysis,"protein structure,RNA secondary structure,gene prediction,concept formation,constraint handling rules,constraint handling rule grammars",['D' 'I'],biological based analysis constraint method sequence,handling rna constraint prediction formation gene grammar concept structure rule protein secondary,analysi constraint method sequenc biolog base,handl rna constraint secondari predict format gene grammar concept rule protein structur,biological based analysis constraint method sequence,handling rna constraint prediction formation gene grammar concept structure rule protein secondary
993,Process Equivalences as Global Bisimulations,"bisimulation,ready simulation,refusal,traces,concurrent process equivalences and preorders,,comparative semantics",['D' 'F'],bisimulations equivalence global process,equivalence preorders refusal comparative simulation ready semantics trace concurrent bisimulation process,process global bisimul equival,compar concurr process equival preorder semant readi simul trace bisimul refus,bisimulations equivalence global process,equivalence preorders refusal comparative simulation ready semantics trace concurrent bisimulation process
994,Verifying Real-Time Properties of tccp Programs,"timed concurrent constraint paradigm,model checking,temporal logic",['D'],tccp verifying real-time property program,logic model temporal constraint timed checking concurrent paradigm,verifi properti tccp real-tim program,logic model check concurr constraint tempor time paradigm,tccp verifying property program,logic model temporal constraint timed checking concurrent paradigm
995,Constructive Failure in Functional-Logic Programming: From Theory to Implementation,"negation,constructive failure,narrowing,functional-logic programming",['D' 'F'],programming constructive theory implementation functional-logic failure,programming narrowing constructive negation functional-logic failure,theori failur implement functional-log construct program,narrow failur negat functional-log construct program,programming constructive theory implementation failure,programming narrowing constructive negation failure
996,Verification of CRWL Programs with Rewriting Logic,"functional logic programming,rewriting logic,Maude,verification",['D' 'F'],crwl program rewriting verification logic,programming rewriting maude verification functional logic,crwl program rewrit verif logic,logic rewrit maud verif function program,crwl program rewriting verification logic,programming rewriting maude verification functional logic
997,Introducing the ITP Tool: a Tutorial,"inductive theorem proving,semantic data structures,membership equational logic,ITP",['F'],introducing tutorial tool itp,proving inductive equational structure theorem itp data membership semantic logic,introduc tutori tool itp,equat induct semant prove theorem itp data membership structur logic,introducing tutorial tool itp,proving inductive equational structure theorem itp data membership semantic logic
998,Magic Sets for the XPath Language,"logic programming,XPath language,magic sets",['D' 'H'],language xpath magic set,programming xpath set magic language logic,xpath languag magic set,logic xpath set languag magic program,language xpath magic set,programming xpath set magic language logic
999,Operational/Interpretive Unfolding of Multi-adjoint Logic Programs,"fuzzy logic programming,program transformation,unfolding ",['D' 'I'],multi-adjoint logic operational/interpretive unfolding program,programming program transformation fuzzy unfolding logic,multi-adjoint logic operational/interpret unfold program,logic transform fuzzi unfold program,logic unfolding program,programming program transformation fuzzy unfolding logic
1000,Plagiarism - A Survey,"plagiarism,cheating,similarity detection,IPR",['K'],plagiarism survey,similarity ipr plagiarism cheating detection,survey plagiar,cheat ipr plagiar detect similar,plagiarism survey,similarity ipr plagiarism cheating detection
1001,Behavioral Institutions and Refinements in Generalized Hidden Logics,"hidden logics,Leibniz congruence,behavioral equivalence relation,behavioral logic,institutions,refinements,behavioral refinement,s",['F'],generalized refinement behavioral institution hidden logic,equivalence refinement relation behavioral congruence institution leibniz hidden logic,institut gener behavior refin hidden logic,institut congruenc leibniz behavior relat equival refin hidden logic,generalized refinement behavioral institution hidden logic,equivalence refinement relation behavioral congruence institution leibniz hidden logic
1002,Variations on Itai-Rodeh Leader Election for Anonymous Rings and their Analysis in PRISM,"distributed computing,leader election,anonymous networks,probabilistic algorithms,formal verification,model checking",['C' 'D' 'F'],anonymous leader analysis election prism ring itai-rodeh variation,anonymous leader probabilistic formal election computing network algorithm verification distributed checking model,analysi elect leader prism variat ring anonym itai-rodeh,elect check leader formal algorithm model network verif anonym probabilist distribut comput,anonymous leader analysis election prism ring variation,anonymous leader probabilistic formal election computing network algorithm verification distributed checking model
1003,Eliminating Redundant Join-Set Computations in Static Single Assignment,"compiler optimization,SSA ",['D' 'I'],join-set single computation static redundant eliminating assignment,compiler ssa optimization,join-set elimin assign static singl redund comput,ssa optim compil,single computation static redundant eliminating assignment,compiler ssa optimization
1005,The Transformation of the Web: How Emerging Communities Shape the Information we Consume,"collaborative work,community building,self-organisation,emergence,information systems,web-based applications,wikis,blogs,podcasting,file sharing,social networks",['H'],consume community shape emerging web transformation information,self-organisation collaborative community system wikis building sharing emergence social network blog web-based file application work podcasting information,transform emerg shape web consum commun inform,self-organis system social emerg collabor network share web-bas build blog file wiki podcast applic commun work inform,consume community shape emerging web transformation information,collaborative community system wikis building sharing emergence social network blog file application work podcasting information
1006,An O(n) Distributed Mutual Exclusion Algorithm Using Queue Migration,"mutual exclusion,critical section,distributed algorithm,computer network,queue migration,message complexity",['C' 'F' 'I'],mutual exclusion queue algorithm migration distributed using,mutual exclusion section queue algorithm complexity network computer critical migration distributed message,mutual queue algorithm migrat exclus use distribut,mutual complex section queue algorithm distribut network messag migrat exclus critic comput,mutual exclusion queue algorithm migration distributed using,mutual exclusion section queue algorithm complexity network computer critical migration distributed message
1007,A Structure Causality Relation for Liveness Characterisation in Petri Nets,"Petri nets,structural analysis,siphons,liveness,deadlock-freeness",['D' 'F' 'G'],liveness relation petri characterisation structure net causality,liveness analysis petri structural siphon net deadlock-freeness,petri relat causal live net characteris structur,analysi deadlock-fre petri live siphon net structur,liveness relation petri characterisation structure net causality,liveness analysis petri structural siphon net
1010,POCA : A User Distributions Algorithm in Enterprise Systems with Clustering,"clustering,user distribution,profile,load balancing,enterprise systems",['H' 'K'],user algorithm distribution system poca clustering enterprise,user distribution profile load system balancing clustering enterprise,user algorithm enterpris system cluster poca distribut,balanc user system enterpris load cluster profil distribut,user algorithm distribution system poca clustering enterprise,user distribution profile load system balancing clustering enterprise
1011,Creation and Evaluation of Fuzzy Knowledge-base,"fuzzy Datalog,fuzzy knowledge-base,proximity,evaluation strategies",['I'],creation fuzzy evaluation knowledge-base,proximity datalog evaluation strategy knowledge-base fuzzy,evalu creation knowledge-bas fuzzi,evalu proxim datalog knowledge-bas fuzzi strategi,creation fuzzy evaluation,proximity datalog evaluation strategy fuzzy
1012,UML-Based Modeling of Data-oriented WEB Applications,"data models,MVC design pattern,UML,Web application,,Web modeling techniques,XMI,XML,XSLT",['D' 'H'],web data-oriented uml-based modeling application,mvc xslt design web xmi xml application modeling data pattern technique uml model,web uml-bas applic data-ori model,mvc xslt design web xmi pattern techniqu data applic xml uml model,web modeling application,mvc xslt design web xmi xml application modeling data pattern technique uml model
1014,Design and Implementation of Enum-Based Services,"ENUM,ENUM procedure,ENUM client,Domain Name System (DNS),E.164 telephone number,ENUM-based service",['C' 'H'],design enum-based service implementation,domain dns enum-based system telephone client procedure service number name enum,design implement enum-bas servic,domain dn system servic telephon enum-bas client procedur number name enum,design service implementation,domain dns system telephone client procedure service number name enum
1015,Performance Modeling of Proxy Cache Servers,"queueing network,proxy cache server,performance models",['H'],performance cache server modeling proxy,performance cache network server queueing proxy model,cach server perform proxi model,queue cach network server perform proxi model,performance cache server modeling proxy,performance cache network server queueing proxy model
1016,Developing on Exact Quality and Classification System for Plant Improvement,"image classification,fractal dimension,plant improvement,thermovision,potato breeding and qualification",['I' 'J'],system classification developing exact plant improvement quality,thermovision dimension classification qualification potato plant improvement image breeding fractal,system develop exact plant classif qualiti improv,thermovis potato plant breed dimens classif imag improv qualif fractal,system classification developing exact plant improvement quality,thermovision dimension classification qualification potato plant improvement image breeding fractal
1017,Extension of CQL over Dynamic Databases,"data-flow languages,database,query languages",['D' 'H'],database cql extension dynamic,data-flow database language query,extens cql databas dynam,data-flow queri databas languag,database cql extension dynamic,database language query
1018,Japlo: Rule-based Programming on Java,"Java,Prolog,Japlo",['D'],japlo programming rule-based java,prolog japlo java,rule-bas japlo java program,prolog japlo java,japlo programming java,prolog japlo java
1019,Analysing Data of Childhood Acute Lymphoid Leukaemia by Seasonal Time Series Methods,"time series analysis,seasonal decomposition time series method,acute childhood lymphoid leukaemia",['G'],acute analysing seasonal method time series leukaemia data childhood lymphoid,acute analysis seasonal decomposition method time series leukaemia childhood lymphoid,season lymphoid method time leukaemia data childhood acut seri analys,season analysi lymphoid method decomposit time leukaemia childhood acut seri,acute analysing seasonal method time series leukaemia data childhood lymphoid,acute analysis seasonal decomposition method time series leukaemia childhood lymphoid
1020,4M Software for Modelling and Analysing Cropping Systems,"crop model,estimation method,education",['H' 'J'],cropping system analysing modelling software,estimation method crop education model,system crop softwar analys model,estim educ method crop model,cropping system analysing modelling software,estimation method crop education model
1021,Modern Technologies in Client-Server Architecture for Geo-based Interactive Web Portals,"Web-based services,map services,geo-base,XML,Java,Ajax,marketing,portal",['H'],client-server portal web architecture interactive modern technology geo-based,portal map geo-base web-based java service xml ajax marketing,interact architectur geo-bas client-serv portal web technolog modern,geo-bas servic market portal web-bas map java ajax xml,portal web architecture interactive modern technology,portal map java service xml ajax marketing
1023,Applications of Neighborhood Sequence in Image Processing and Database Retrieval,"database retrieval,image database,image processing,segmentation",['H' 'I'],database neighborhood image application sequence processing retrieval,database image segmentation processing retrieval,sequenc neighborhood retriev databas imag applic process,segment retriev databas imag process,database neighborhood image application sequence processing retrieval,database image segmentation processing retrieval
1024,Course Modeling for Student Profile Based Flexible Higher Education on the Internet,"virtual classroom,model of higher education course,feature driven model construction,conflicts at course definition",['J'],higher flexible based profile course student modeling internet education,higher driven construction course virtual classroom conflict education feature definition model,higher educ flexibl student internet profil base cours model,higher educ featur driven virtual classroom conflict definit cours construct model,higher flexible based profile course student modeling internet education,higher driven construction course virtual classroom conflict education feature definition model
1025,Mathematical Models of Endocrine Systems,"endocrine,chaos,nonlinear differential equation,graphic",['G' 'J'],mathematical model system endocrine,chaos graphic nonlinear equation differential endocrine,endocrin mathemat system model,chao equat graphic differenti endocrin nonlinear,mathematical model system endocrine,chaos graphic nonlinear equation differential endocrine
1026,Construction of Wavelets and Applications,"Haar-like systems,multiresolution,wavelets,image processing,signal processing",['F' 'G' 'I'],construction application wavelet,signal system image haar-like wavelet multiresolution processing,applic wavelet construct,signal haar-lik system multiresolut imag wavelet process,construction application wavelet,signal system image wavelet multiresolution processing
1027,Resource Efficient Maintenance of Wireless Network Topologies,"ad hoc networks,topology control,distributed algorithms",['F' 'G' 'I'],maintenance efficient network resource wireless topology,ad control hoc algorithm network distributed topology,topolog network wireless resourc mainten effici,ad control hoc topolog algorithm network distribut,maintenance efficient network resource wireless topology,ad control hoc algorithm network distributed topology
1028,Membrane Computing and Graphical Operating Systems,"membrane computing,operating systems,graphical interfaces,graphical operating systems,parallel computing",['D' 'F' 'H' 'I'],graphical system computing membrane operating,graphical parallel system computing membrane operating interface,system membran graphic oper comput,parallel membran system graphic interfac oper comput,graphical system computing membrane operating,graphical parallel system computing membrane operating interface
1029,Parameter Estimation of the Cauchy Distribution in Information Theory Approach,"parameter estimation,discrimination information,inaccuracy,Cauchy distribution",['G'],information estimation cauchy distribution theory approach parameter,information estimation cauchy distribution discrimination parameter inaccuracy,estim theori paramet approach inform distribut cauchi,estim discrimin inaccuraci paramet inform distribut cauchi,information estimation cauchy distribution theory approach parameter,information estimation cauchy distribution discrimination parameter inaccuracy
1030,Phasetransition-like Changes in Human Visual Information Processing,"visual information processing,information processing ability,phase transition,artificial neural networks, associative memory",['H' 'J'],human visual information phasetransition-like processing change,visual associative neural network phase artificial processing memory ability information transition,human visual phasetransition-lik inform process chang,visual neural network artifici phase associ transit memori abil inform process,human visual information processing change,visual associative neural network phase artificial processing memory ability information transition
1031,Primary School Teachers in the Information Society,"school,teachers,information society,competence of digital literacy",['J' 'K'],primary society teacher school information,literacy society digital competence teacher school information,societi primari teacher school inform,societi literaci digit teacher school inform compet,primary society teacher school information,literacy society digital competence teacher school information
1032,The Additional Examination of the Kudo-Mathuria Time-Release Protocol,"time-release cryptography,time capsule,Kudo-Mathuria protocol,formal verification of cryptographic protocols",['C'],protocol time-release examination additional kudo-mathuria,protocol time-release formal cryptographic kudo-mathuria capsule verification time cryptography,protocol addit time-releas kudo-mathuria examin,protocol formal time-releas cryptographi kudo-mathuria verif time cryptograph capsul,protocol examination additional,protocol formal cryptographic capsule verification time cryptography
1033,Synthesis of Optimal Workflow Structure,"workflow,P-graph,network synthesis",['F' 'G' 'H'],optimal synthesis workflow structure,p-graph network synthesis workflow,synthesi optim structur workflow,p-graph network synthesi workflow,optimal synthesis workflow structure,network synthesis workflow
